2018-08-21 13:28:00,635 DEBUG Main – Запуск программы.
2018-08-21 13:28:23,021 DEBUG .ctor – Запуск формы 'Тестирование'
2018-08-21 13:28:23,067 DEBUG SetDeviceIndicators – Устройство сканер не найдено!
2018-08-21 13:28:23,147 DEBUG SetDeviceIndicators – PLC устройство отключено! Окно не занято
2018-08-21 13:28:40,358 DEBUG Connect – Инициализация таймера WatchDog0
2018-08-21 13:29:32,687 DEBUG timerWatchDog_Elapsed – Получили false, записали false 1 21.08.2018 04:29:32:687
2018-08-21 13:29:33,732 DEBUG timerWatchDog_Elapsed – Получили true, записали true 0 21.08.2018 04:29:33:732
2018-08-21 13:29:34,777 DEBUG timerWatchDog_Elapsed – Получили false, записали false 1 21.08.2018 04:29:34:777
2018-08-21 13:29:35,823 DEBUG timerWatchDog_Elapsed – Получили true, записали true 0 21.08.2018 04:29:35:823
2018-08-21 13:29:36,867 DEBUG timerWatchDog_Elapsed – Получили false, записали false 1 21.08.2018 04:29:36:867
2018-08-21 13:29:37,915 DEBUG timerWatchDog_Elapsed – Получили true, записали true 0 21.08.2018 04:29:37:915
2018-08-21 13:29:38,959 DEBUG timerWatchDog_Elapsed – Получили true, записали true 1 21.08.2018 04:29:38:959
2018-08-21 13:29:40,004 DEBUG timerWatchDog_Elapsed – Получили false, записали false 2 21.08.2018 04:29:40:003
2018-08-21 13:29:41,050 DEBUG timerWatchDog_Elapsed – Получили true, записали true 1 21.08.2018 04:29:41:050
2018-08-21 13:29:42,095 DEBUG timerWatchDog_Elapsed – Получили false, записали false 2 21.08.2018 04:29:42:095
2018-08-21 13:29:43,139 DEBUG timerWatchDog_Elapsed – Получили true, записали true 1 21.08.2018 04:29:43:139
2018-08-21 13:29:44,184 DEBUG timerWatchDog_Elapsed – Получили false, записали false 2 21.08.2018 04:29:44:184
2018-08-21 13:29:45,231 DEBUG timerWatchDog_Elapsed – Получили true, записали true 1 21.08.2018 04:29:45:231
2018-08-21 13:29:46,273 DEBUG timerWatchDog_Elapsed – Получили false, записали false 2 21.08.2018 04:29:46:273
2018-08-21 13:29:47,321 DEBUG timerWatchDog_Elapsed – Получили true, записали true 1 21.08.2018 04:29:47:321
2018-08-21 13:29:48,365 DEBUG timerWatchDog_Elapsed – Получили false, записали false 0 21.08.2018 04:29:48:365
2018-08-21 13:29:49,410 DEBUG timerWatchDog_Elapsed – Получили true, записали true -1 21.08.2018 04:29:49:410
2018-08-21 13:29:50,454 DEBUG timerWatchDog_Elapsed – Получили false, записали false 0 21.08.2018 04:29:50:454
2018-08-21 13:29:51,502 DEBUG timerWatchDog_Elapsed – Получили true, записали true -1 21.08.2018 04:29:51:501
